date,title,link
20211231 16:05:34,21年最后一天，分享一个买入技巧,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490809&idx=1&sn=f0bbe50a23f4307ff2663d5e82cddd79&chksm=f90882bcce7f0baa8d8211aba28f9c10174b53d3b41ec23e5cbcb6c42429d899d24b4489c9c7#rd
20211230 17:23:42,今年最后一天如何操作？,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490797&idx=1&sn=60d53b0133730a38201ad4fd8dc128f7&chksm=f90882a8ce7f0bbee396a8efab20590140720b27e33227ed42b5bd54794e24ec284c42839b2b#rd
20211230 17:23:42,那些斩钉截铁的判断（索引）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490797&idx=2&sn=840ea9ccdc41ba1d0805061ba809afc3&chksm=f90882a8ce7f0bbe2ef1ef21e27ec1a97dd6dac36a30200715e8cd4ed81060dc9fa18742191b#rd
20211229 16:35:17,明天还会不会继续下跌,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490791&idx=1&sn=0a3392573c89175b7d4ed312ec330c14&chksm=f90882a2ce7f0bb4e73d8cc30aa2cff76f57ff2b43b1acc58d8a77bdaceb6b6c0ffa8025449a#rd
20211229 16:35:17,那些斩钉截铁的判断（索引）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490791&idx=2&sn=82ba01ded39c562f8c83e04d31b88c5b&chksm=f90882a2ce7f0bb46d79edf466769e3512716c290445f79201ec9c1190cd9d0f8d484c6df60d#rd
20211228 18:41:08,无话可说,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490774&idx=1&sn=c6d70a3c59437f4cd0026380ff5f1ded&chksm=f9088293ce7f0b85c1be3b14567dd47e3742a9133df032eb5cbde5be1c711984d3cd21163027#rd
20211227 15:13:41,今天是否砸出了底部,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490767&idx=1&sn=9380707c9a5f3de749deec12c34a2c88&chksm=f908828ace7f0b9c651217867565d32328cbd6500f7bc05200a4e19e607b76cdd57fd6f781b3#rd
20211227 15:13:41,那些斩钉截铁的判断（索引）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490767&idx=2&sn=6a9db3e5bb8db91c5cd7322948a60036&chksm=f908828ace7f0b9c8a279f18b053005fced4d25de3ee61ec22b5e88ac66604f3b9d9dc9c0caf#rd
20211224 16:00:48,下周一的哥德巴赫猜想,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490760&idx=1&sn=7e66d097ca09c640d15d206a173ed932&chksm=f908828dce7f0b9bdaf19931fe3a5a68295c1f51fc9deb95a9c2a2c53829e5756557ecbdbf0b#rd
20211224 16:00:48,那些斩钉截铁的判断（索引）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490760&idx=2&sn=46f3974be2703920307a0d847c7a52ff&chksm=f908828dce7f0b9b77854727ea92ff6fa3456fc892d4342ef8464c46a2f49f2d28f425671eb7#rd
20211223 15:56:16,这类票炒作告一段落,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490752&idx=1&sn=cbb8f953ad68b47785ffb47ba5b49841&chksm=f9088285ce7f0b938cbef9c75fe76ea632c887fd139ada616184206c12316901356dd9be74fa#rd
20211223 15:56:16,那些斩钉截铁的判断（索引）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490752&idx=2&sn=20341d06d4495ea97bd0f8bb24d564f8&chksm=f9088285ce7f0b93485539846f7225c1fe9887b4716fe64919e949256f433628f650793feef5#rd
20211220 16:20:09,反弹在明天吗？,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490740&idx=1&sn=e72c105bbbcf866fad4652ccec8ce7a6&chksm=f90882f1ce7f0be73f923782892a8769a99abda6baa8c01c1b4da0b9c2513c1c1cd33c80d2d6#rd
20211220 16:20:09,那些斩钉截铁的判断（索引）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490740&idx=2&sn=7712907280c4b0feb746504129e143e9&chksm=f90882f1ce7f0be7b059710e73c898e3939a4bef5d1a5ea618c9ada310c7b0c3e36132b768f2#rd
20211217 16:06:07,下周展望（12/17),http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490727&idx=1&sn=3231b244ba13c7dab4d5d80eee65291a&chksm=f90882e2ce7f0bf448dd2a59cda3ecfb26fe25eed8f9f0c97366237cfce0a53e4757cdad66ca#rd
20211217 16:06:07,那些斩钉截铁的判断（索引）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490727&idx=2&sn=88adbebb00bb999f4e6da1e6727fe827&chksm=f90882e2ce7f0bf41e2832c890ee0920254d10b52db3340ab07628516aae97f88e515c9bfd14#rd
20211214 15:34:09,冲动的惩罚,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490716&idx=1&sn=c2e3f1042690c9826678390c0e33fcb4&chksm=f90882d9ce7f0bcfb941cd1b5c654504a085bb10d94567e61e5ba021fca67546111c5ba00db2#rd
20211214 15:34:09,那些斩钉截铁的判断,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490716&idx=2&sn=dce176be9c2567157ddfe4790c30eb11&chksm=f90882d9ce7f0bcf32f73fc5c7b2359906fa5d9c7c6d0093d79ae4781c97741aa9c9308da981#rd
20211211 09:48:58,下周展望（12/11）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490711&idx=1&sn=f74a847d642786f3bddd19032a5c60b8&chksm=f90882d2ce7f0bc4bf230c3b7b27f5adbfc67761c755c526b61c2abe62b221dad6816f5ed094#rd
20211211 09:48:58,那些斩钉截铁的判断（索引）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490711&idx=2&sn=361502b788bbfc926f51566064bdccaa&chksm=f90882d2ce7f0bc45fe855054226eb6e3bc838e30989882a4420ce4df9d7498c7a6989a39187#rd
20211209 15:56:34,出了一只票,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490703&idx=1&sn=c45e08f22b6b4fc6da677a049212d229&chksm=f90882cace7f0bdc23b0f687ea9c543dc7ce13bb4b9c4a012d262ef6a324ca5aa633b3f36a44#rd
20211208 18:26:44,没什么遗憾,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490697&idx=1&sn=9dca8169f2d9386a01c7f54d7d7413a1&chksm=f90882ccce7f0bdacb9d56e8bd3b4897b828a03023071de9f14d03927fd9fde1bc2912b43722#rd
20211208 18:26:44,那些斩钉截铁的判断,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490697&idx=2&sn=ca25dc4780e2d68c57ee09f1aeac43f2&chksm=f90882ccce7f0bda6a15ee60bb2e2c2f31639fb0b0cd0b19996e73316f9f43f9f1e128a96453#rd
20211206 15:23:26,明天还会接着跌吗？,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490687&idx=1&sn=165b610e3f1f910b729b054543a9730a&chksm=f908823ace7f0b2c7c9792a4515d8aff56ce748759b14a4896db8eb37a8a94391912aaf9a373#rd
20211205 10:16:01,那些斩钉截铁的判断（索引）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490680&idx=2&sn=0e303c5d052caf644c2edacd80ec902a&chksm=f908823dce7f0b2bc721cbfa4ab5ba1a559766f212138a0ee006223d3103a2a1c5f575a34598#rd
20211203 15:49:11,下周会这样走,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490636&idx=1&sn=9ccff196e48131ca9e6631712fce8b61&chksm=f9088209ce7f0b1f6fd9113cd414cd90e01897d6d68e89e0df16d9acbbfabde6bffc2f847bc8#rd
20211203 15:49:11,那些斩钉截铁的判断,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490636&idx=2&sn=16099876ea72f270fab0ae72c4a7dd88&chksm=f9088209ce7f0b1f84f303a48b0bd6943e6f35ef18fc019a30ef928027c79a7ff977e70861ac#rd
20211202 15:47:40,看这个周期的强度,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490624&idx=1&sn=186b5e75688aaadb0690ad6cab1f33f3&chksm=f9088205ce7f0b1325781cccfda25e502113da82598957dbc9e11279d659f60b54650bd59a46#rd
20211201 12:34:15,艰难的申诉,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490617&idx=1&sn=2850a7e313042520eb9ab1b1790547ba&chksm=f908827cce7f0b6a6e4645f54a6c5806093eee7c37bed3935e9b1f55979a3260bd70b94e1c4a#rd
20211201 12:34:15,那些斩钉截铁的判断,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490617&idx=2&sn=ffea6b55ac8a3c7174cc48c4dab18db8&chksm=f908827cce7f0b6a3addf2c6cb72b4170961f2f03e04dae3b9f5f087f5ddccc1cc13b541f547#rd
20211126 18:53:49,小剧本（下周展望11.26）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490592&idx=1&sn=7f99be5c6404e56abf0306c7481cd3f5&chksm=f9088265ce7f0b7317e4f82e221824d3f2a0048376c5536d18a17d2f1e66e336119453537e57#rd
20211125 16:11:31,忘了又忘,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490587&idx=1&sn=116c0e3ba10457fddee4233e2d8eb262&chksm=f908825ece7f0b487f7b594d12fcb76865cc8f117cb193bbad0a4564a8f8bd2bac05b611777e#rd
20211124 11:51:24,如期调整了怎么办？,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490574&idx=1&sn=af3a34f0fab72c8554f08363c22fef19&chksm=f908824bce7f0b5de26fc64c0f18774f2b9b6869f503e511bfc38494c57814c3c19df95cfb6b#rd
20211124 11:51:24,那些斩钉截铁的判断（索引）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490574&idx=2&sn=07ee9f511db34edf9214ec5abddcdcc3&chksm=f908824bce7f0b5d1e9a47d1f1a9bf4253cace36723a2fa70c94b23f1c6dcb67d0a70c3638d8#rd
20211122 16:06:25,明天大概会这样走,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490567&idx=1&sn=6a190945677e7e7a9d33a165ccb3000f&chksm=f9088242ce7f0b54b0becd32dca6d3da969c6a2314df33a9d15b203ad7f42a13fd5f1972da43#rd
20211122 16:06:25,那些斩钉截铁的判断（索引）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490567&idx=2&sn=a91d207e88f8bcf10ddce0239d0aecee&chksm=f9088242ce7f0b54988efb97a49567d4309ee1850d57e860007ea05db5cf6490c89c02c210ab#rd
20211120 11:41:05,交易那些事系列（八）---时空的共振,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490546&idx=1&sn=0a2c5190f43f3cbec073660ca34d5907&chksm=f90885b7ce7f0ca1a7b90bb76e47959f55357a8e86c9a1c42467683969d266d50ccb12d96976#rd
20211119 14:39:39,就是今天了！,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490538&idx=1&sn=7031f57b075277419190952af31fb41c&chksm=f90885afce7f0cb967e50046ba968483eac148c746045b01676b8fd089c797ac6eb9a13ebb3c#rd
20211119 14:39:39,那些斩钉截铁的判断（索引）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490538&idx=2&sn=fb29d3ce2b14349b3772f514cbf60a45&chksm=f90885afce7f0cb9c3d52517c6b30348d3f008bb2f7b849dc37cdd7375e20a8f12a32028d107#rd
20211118 15:15:28,调整到这里就会结束,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490529&idx=1&sn=285b1938a315d352ec9e99b5b9af3c56&chksm=f90885a4ce7f0cb221b5bd57511798667bf2d344612660b0046171152f26d3f81b3ec9b37667#rd
20211118 15:15:28,那些斩钉截铁的判断（索引）,http://mp.weixin.qq.com/s?__biz=MzUwOTk4NzYyNg==&mid=2247490529&idx=2&sn=60e37ea35776bd462034f5e501e2fe8d&chksm=f90885a4ce7f0cb25e62608f481e4fa8ef98c85edda1bb6953978e89195c704422286e4111bf#rd
